timestamp,stationId,hour,weekday,loadFactor,freeSlots,urgent,recommended
2025-09-05T02:09:38.077Z,1,19,4,0.00,2,0,1
2025-09-05T02:14:17.354Z,1,19,4,0.00,2,0,1
